 Idylle  interrompue,'Comedy'|  'Short'|1800's|short|less  than  5  minutes,A  Night  in  May,,The  Arrival  of  a  Train,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Devil's  Laboratory,'Horror'|  'Short'|1800's|short|less  than  5  minutes,The  Siren's  Song,,The  Beach  at  Villiers  in  a  Gale,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Last  Days  of  Pompeii,'Drama'|  'Short'|1900's|short|less  than  5  minutes,The  Great  Physician,"'Drama'|  'Short'|  ""1900's""|  'short'",Idylle  interrompue,'Short'|  'short'|  'less  than  5  minutes' 
 The  Twins'  Tea  Party,'Comedy'|  'Short'|1800's|short|less  than  5  minutes,The  Hypnotist  at  Work,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes'",Tom  Old  Boot,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  X-Ray  Fiend,'Comedy'|  'Horror'|  'Short'|1800's|short|less  than  5  minutes,The  Story  of  the  Kelly  Gang,,Boxing  Match;  or    Glove  Contest,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 A  Sea  Cave  Near  Lisbon,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,As  Seen  Through  a  Telescope,'Short'|  'short'|  'less  than  5  minutes',A  Watermelon  Feast,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Burglar  on  the  Roof,'Crime'|  'Short'|1800's|short|less  than  5  minutes,The  Bohemian  Encampment,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes'",The  Last  Days  of  Pompeii, 
 The  Cavalier's  Dream,'Horror'|  'Short'|1800's|short|less  than  5  minutes,The  Drive  for  a  Life,'Short'|  'short',Edison  Kinetoscopic  Record  of  a  Sneeze,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Cave  of  the  Demons,'Horror'|  'Short'|1800's|short|less  than  5  minutes,The  Dream  of  an  Opium  Fiend,'Short'|  'short'|  'less  than  5  minutes',Leaving  Jerusalem  by  Railway,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Corsican  Brothers,'Drama'|  'Short'|1800's|short|less  than  5  minutes,Miss  Dundee  and  Her  Performing  Dogs,'Short'|  'short'|  'less  than  5  minutes',A  Terrible  Night,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
